curve,delta,x,radius
union,0.05,2143,inf
gauss,0.05,2143,2.493383560511682
union,0.05,2292,inf
gauss,0.05,2292,2.5012282080480466
union,0.05,2452,inf
gauss,0.05,2452,2.5090786620915724
union,0.05,2622,inf
gauss,0.05,2622,2.5168530017227337
union,0.05,2805,inf
gauss,0.05,2805,2.5246533623975025
union,0.05,3000,inf
gauss,0.05,3000,2.5324000728994336
auc,0.05,1,1.8305786851595638
auc,0.05,2,2.0850178536107213
auc,0.05,3,2.2631487646439266
auc,0.05,4,2.3263735537680423
auc,0.05,5,2.3722851655665242
auc,0.05,6,2.385636299510587
auc,0.05,7,2.5939134299394038
auc,0.05,8,2.5939134299394038
auc,0.05,9,2.5939134299394038
auc,0.05,10,inf
auc,0.05,11,inf
auc,0.05,12,inf
auc,0.05,13,inf
auc,0.05,14,inf
auc,0.05,15,inf
auc,0.05,16,inf
auc,0.05,17,inf
auc,0.05,18,inf
auc,0.05,19,inf
auc,0.05,20,inf
auc,0.05,21,inf
auc,0.05,22,inf
auc,0.05,23,inf
auc,0.05,24,inf
auc,0.05,25,inf
auc,0.05,26,inf
auc,0.05,27,inf
auc,0.05,28,inf
auc,0.05,29,inf
auc,0.05,30,inf
auc,0.05,31,inf
auc,0.05,32,inf
auc,0.05,33,inf
auc,0.05,34,inf
auc,0.05,35,inf
auc,0.05,36,inf
auc,0.05,37,inf
auc,0.05,38,inf
auc,0.05,39,inf
auc,0.05,40,inf
auc,0.05,41,inf
auc,0.05,42,inf
auc,0.05,43,inf
auc,0.05,44,inf
auc,0.05,45,inf
auc,0.05,46,inf
auc,0.05,47,inf
auc,0.05,48,inf
auc,0.05,49,inf
auc,0.05,50,inf
auc,0.05,51,inf
auc,0.05,52,inf
auc,0.05,53,inf
auc,0.05,54,inf
auc,0.05,55,inf
auc,0.05,56,inf
auc,0.05,57,inf
auc,0.05,58,inf
auc,0.05,59,inf
auc,0.05,60,inf
aucb,0.05,1,2.3263735537680423
aucb,0.05,2,2.3523383296305624
aucb,0.05,3,2.3523383296305624
aucb,0.05,4,2.3523383296305624
aucb,0.05,5,2.3523383296305624
aucb,0.05,6,2.3523383296305624
aucb,0.05,7,2.3722851655665242
aucb,0.05,8,2.3722851655665242
aucb,0.05,9,2.3722851655665242
aucb,0.05,10,2.3722851655665242
aucb,0.05,11,2.3722851655665242
aucb,0.05,12,2.385636299510587
aucb,0.05,13,2.385636299510587
aucb,0.05,14,2.385636299510587
aucb,0.05,15,2.385636299510587
aucb,0.05,16,2.385636299510587
aucb,0.05,17,2.385636299510587
aucb,0.05,18,2.385636299510587
aucb,0.05,19,2.385636299510587
aucb,0.05,20,2.5939134299394038
aucb,0.05,21,2.5939134299394038
aucb,0.05,22,2.5939134299394038
aucb,0.05,23,2.5939134299394038
aucb,0.05,24,2.5939134299394038
aucb,0.05,25,2.5939134299394038
aucb,0.05,26,2.5939134299394038
aucb,0.05,27,2.5939134299394038
aucb,0.05,28,2.5939134299394038
aucb,0.05,29,2.5939134299394038
aucb,0.05,30,2.5939134299394038
aucb,0.05,31,2.5939134299394038
aucb,0.05,32,2.5939134299394038
aucb,0.05,33,2.5939134299394038
aucb,0.05,34,2.5939134299394038
aucb,0.05,35,2.5939134299394038
aucb,0.05,36,2.5939134299394038
aucb,0.05,37,2.5939134299394038
aucb,0.05,38,2.5939134299394038
aucb,0.05,39,2.5939134299394038
aucb,0.05,40,2.5939134299394038
aucb,0.05,41,2.5939134299394038
aucb,0.05,42,2.5939134299394038
aucb,0.05,43,2.5939134299394038
aucb,0.05,44,2.5939134299394038
aucb,0.05,45,2.5939134299394038
aucb,0.05,46,2.5939134299394038
aucb,0.05,47,2.5939134299394038
aucb,0.05,48,2.5939134299394038
aucb,0.05,49,2.5939134299394038
aucb,0.05,50,2.5939134299394038
aucb,0.05,51,2.5939134299394038
aucb,0.05,52,2.5939134299394038
aucb,0.05,53,inf
aucb,0.05,54,inf
aucb,0.05,55,inf
aucb,0.05,56,inf
aucb,0.05,57,inf
aucb,0.05,58,inf
aucb,0.05,59,inf
aucb,0.05,60,inf
plugin,0.05,1,1.6158311492991833
plugin,0.05,2,1.6158311492991833
plugin,0.05,3,1.6158311492991833
plugin,0.05,4,1.6158311492991833
plugin,0.05,5,1.6158311492991833
plugin,0.05,6,1.6158311492991833
plugin,0.05,7,1.6158311492991833
plugin,0.05,8,1.6158311492991833
plugin,0.05,9,1.6158311492991833
plugin,0.05,10,1.6158311492991833
plugin,0.05,11,1.6158311492991833
plugin,0.05,12,1.6158311492991833
plugin,0.05,13,1.6158311492991833
plugin,0.05,14,1.6158311492991833
plugin,0.05,15,1.6158311492991833
plugin,0.05,16,1.6158311492991833
plugin,0.05,17,1.6158311492991833
plugin,0.05,18,1.6158311492991833
plugin,0.05,19,1.6158311492991833
plugin,0.05,21,1.6158311492991833
plugin,0.05,22,1.6158311492991833
plugin,0.05,24,1.6158311492991833
plugin,0.05,25,1.6158311492991833
plugin,0.05,27,1.6158311492991833
plugin,0.05,29,1.6158311492991833
plugin,0.05,31,1.6158311492991833
plugin,0.05,33,1.6158311492991833
plugin,0.05,35,1.6158311492991833
plugin,0.05,38,1.6158311492991833
plugin,0.05,40,1.6158311492991833
plugin,0.05,43,1.6158311492991833
plugin,0.05,46,1.6158311492991833
plugin,0.05,50,1.6158311492991833
plugin,0.05,53,1.6158311492991833
plugin,0.05,57,1.6158311492991833
plugin,0.05,61,1.6158311492991833
plugin,0.05,65,1.6158311492991833
plugin,0.05,69,1.6158311492991833
plugin,0.05,74,1.6158311492991833
plugin,0.05,79,1.6158311492991833
plugin,0.05,85,1.6158311492991833
plugin,0.05,91,1.6158311492991833
plugin,0.05,97,1.6158311492991833
plugin,0.05,104,1.6158311492991833
plugin,0.05,105,1.6158311492991833
plugin,0.05,111,1.6158311492991833
plugin,0.05,119,1.6158311492991833
plugin,0.05,127,1.6158311492991833
plugin,0.05,136,1.6158311492991833
plugin,0.05,145,1.6158311492991833
plugin,0.05,155,1.6158311492991833
plugin,0.05,166,1.6158311492991833
plugin,0.05,178,1.6158311492991833
