curve,delta,x,radius
plugin,0.1,426,1.3418214429884598
plugin,0.1,456,1.3418214429884598
plugin,0.1,488,1.3418214429884598
plugin,0.1,522,1.3418214429884598
plugin,0.1,558,1.3418214429884598
plugin,0.1,597,1.3418214429884598
plugin,0.1,638,1.3418214429884598
plugin,0.1,683,1.3418214429884598
plugin,0.1,730,1.3418214429884598
plugin,0.1,781,1.3418214429884598
plugin,0.1,836,1.3418214429884598
plugin,0.1,894,1.3418214429884598
plugin,0.1,956,1.3418214429884598
plugin,0.1,1022,1.3418214429884598
plugin,0.1,1094,1.3418214429884598
plugin,0.1,1170,1.3418214429884598
plugin,0.1,1251,1.3418214429884598
plugin,0.1,1338,1.3418214429884598
plugin,0.1,1431,1.3418214429884598
plugin,0.1,1531,1.3418214429884598
plugin,0.1,1637,1.3418214429884598
plugin,0.1,1751,1.3418214429884598
plugin,0.1,1873,1.3418214429884598
plugin,0.1,2004,1.3418214429884598
plugin,0.1,2143,1.3418214429884598
plugin,0.1,2292,1.3418214429884598
plugin,0.1,2452,1.3418214429884598
plugin,0.1,2622,1.3418214429884598
plugin,0.1,2805,1.3418214429884598
plugin,0.1,3000,1.3418214429884598
cs,0.1,5,inf
cs,0.1,10,inf
cs,0.1,20,inf
cs,0.1,50,1.9746044496685802
cs,0.1,100,1.7274875253458668
cs,0.1,150,1.8032898623248228
cs,0.1,200,1.7274875253458668
cs,0.1,250,1.7266679865170689
cs,0.1,300,1.6546096884970336
cs,0.1,350,1.6416050473712869
cs,0.1,400,1.615978957198944
cs,0.1,450,1.6091300337968124
cs,0.1,500,1.5992028691883646
cs,0.1,550,1.5049087625295148
cs,0.1,600,1.5049087625295148
cs,0.1,650,1.4765735279904486
cs,0.1,700,1.5049087625295148
cs,0.1,750,1.4785937959661921
cs,0.1,800,1.54917728413532
cs,0.1,850,1.505714732765962
cs,0.1,900,1.4785937959661921
cs,0.1,950,1.4765735279904486
cs,0.1,1000,1.4427056150321111
cs,0.1,1050,1.4427056150321111
cs,0.1,1100,1.4385439949727812
cs,0.1,1150,1.474406738693671
cs,0.1,1200,1.452117989709229
cs,0.1,1250,1.4427056150321111
cs,0.1,1300,1.4374674121172537
cs,0.1,1350,1.4193183075584062
cs,0.1,1400,1.4193183075584062
cs,0.1,1450,1.4133650597946832
cs,0.1,1500,1.4168933676538449
cs,0.1,1550,1.4187663811706255
cs,0.1,1600,1.4193183075584062
cs,0.1,1650,1.4194375156011712
cs,0.1,1700,1.4194375156011712
cs,0.1,1750,1.4194375156011712
cs,0.1,1800,1.4193183075584062
cs,0.1,1850,1.4193183075584062
cs,0.1,1900,1.4168933676538449
cs,0.1,1950,1.4168933676538449
cs,0.1,2000,1.4133650597946832
cs,0.1,2050,1.4186344892916192
split_q,0.1,2094,1.3418214429884598
cs_synth,0.05,20,inf
cs_synth,0.05,23,inf
cs_synth,0.05,27,inf
cs_synth,0.05,31,inf
cs_synth,0.05,36,inf
cs_synth,0.05,41,inf
cs_synth,0.05,48,inf
cs_synth,0.05,55,inf
cs_synth,0.05,63,inf
cs_synth,0.05,73,inf
cs_synth,0.05,85,inf
cs_synth,0.05,98,1.2369170168516213
cs_synth,0.05,113,1.2369170168516213
cs_synth,0.05,131,1.2369170168516213
cs_synth,0.05,151,1.1185292165451333
cs_synth,0.05,174,1.0574977971741006
cs_synth,0.05,201,1.1185292165451333
cs_synth,0.05,233,1.1185292165451333
cs_synth,0.05,269,1.1185292165451333
cs_synth,0.05,311,1.047092471959591
cs_synth,0.05,359,1.0574977971741006
cs_synth,0.05,415,1.0574977971741006
cs_synth,0.05,479,1.0398841704492814
cs_synth,0.05,553,0.9928511781672568
cs_synth,0.05,639,0.9486584195052243
cs_synth,0.05,739,0.9441063476870817
cs_synth,0.05,853,0.9179656601831678
cs_synth,0.05,986,0.9179656601831678
cs_synth,0.05,1139,0.932810155789591
cs_synth,0.05,1316,0.9328386214985251
cs_synth,0.05,1520,0.9137965752763748
cs_synth,0.05,1756,0.9120925844932696
cs_synth,0.05,2029,0.8997344797778659
cs_synth,0.05,2344,0.8995414710618619
cs_synth,0.05,2708,0.8997344797778659
cs_synth,0.05,3128,0.8985507165110646
cs_synth,0.05,3614,0.8931087836179975
cs_synth,0.05,4176,0.8838852851591803
cs_synth,0.05,4824,0.8838590192511283
cs_synth,0.05,5573,0.8852894794978925
cs_synth,0.05,6439,0.8814305582483152
cs_synth,0.05,7439,0.878784762483801
cs_synth,0.05,8594,0.8736301986599878
cs_synth,0.05,9929,0.8732254503211361
cs_synth,0.05,11471,0.8735361013907972
cs_synth,0.05,13252,0.8728223753086628
cs_synth,0.05,15310,0.8703544793728137
cs_synth,0.05,17688,0.8680739524180552
cs_synth,0.05,20434,0.8684456328709204
cs_synth,0.05,23608,0.8661562911687523
cs_synth,0.05,27274,0.8660873964008485
cs_synth,0.05,31510,0.8659166992895153
cs_synth,0.05,36403,0.8661562911687523
cs_synth,0.05,42057,0.8663369235349198
cs_synth,0.05,48588,0.8640740349526811
cs_synth,0.05,56134,0.8628581368381587
cs_synth,0.05,64851,0.8625371209047694
cs_synth,0.05,74922,0.8608115735405634
cs_synth,0.05,86558,0.8618670996038329
cs_synth,0.05,100000,0.8610741825501282
q_true_synth,0.05,100000,0.8567113907382857
