delta,n,method,horizon
0.05,3905,optimal,200
0.05,3905,aucb_lam0.05,64
0.05,3905,aucb_lam0.01,169
0.05,3905,cs,-1
0.05,4494,union_anyalloc,224
0.05,4494,auc,14
0.05,4494,optimal,230
0.05,4494,aucb_lam0.05,67
0.05,4494,aucb_lam0.01,183
0.05,4494,cs,-1
0.05,5172,union_anyalloc,258
0.05,5172,auc,15
0.05,5172,optimal,265
0.05,5172,aucb_lam0.05,70
0.05,5172,aucb_lam0.01,197
0.05,5172,cs,-1
0.05,5953,union_anyalloc,297
0.05,5953,auc,16
0.05,5953,optimal,305
0.05,5953,aucb_lam0.05,72
0.05,5953,aucb_lam0.01,211
0.05,5953,cs,-1
0.05,6851,union_anyalloc,342
0.05,6851,auc,18
0.05,6851,optimal,351
0.05,6851,aucb_lam0.05,75
0.05,6851,aucb_lam0.01,225
0.05,6851,cs,-1
0.05,7886,union_anyalloc,394
0.05,7886,auc,19
0.05,7886,optimal,404
0.05,7886,aucb_lam0.05,78
0.05,7886,aucb_lam0.01,238
0.05,7886,cs,-1
0.05,9076,union_anyalloc,453
0.05,9076,auc,20
0.05,9076,optimal,465
0.05,9076,aucb_lam0.05,81
0.05,9076,aucb_lam0.01,252
0.05,9076,cs,-1
0.05,10446,union_anyalloc,522
0.05,10446,auc,22
0.05,10446,optimal,535
0.05,10446,aucb_lam0.05,83
0.05,10446,aucb_lam0.01,266
0.05,10446,cs,-1
0.05,12022,union_anyalloc,601
0.05,12022,auc,24
0.05,12022,optimal,616
0.05,12022,aucb_lam0.05,86
0.05,12022,aucb_lam0.01,280
0.05,12022,cs,-1
0.05,13837,union_anyalloc,691
0.05,13837,auc,25
0.05,13837,optimal,709
0.05,13837,aucb_lam0.05,89
0.05,13837,aucb_lam0.01,294
0.05,13837,cs,-1
0.05,15926,union_anyalloc,796
0.05,15926,auc,27
0.05,15926,optimal,816
0.05,15926,aucb_lam0.05,91
0.05,15926,aucb_lam0.01,308
0.05,15926,cs,-1
0.05,18329,union_anyalloc,916
0.05,18329,auc,29
0.05,18329,optimal,939
0.05,18329,aucb_lam0.05,94
0.05,18329,aucb_lam0.01,321
0.05,18329,cs,-1
0.05,21096,union_anyalloc,1054
0.05,21096,auc,32
0.05,21096,optimal,1081
0.05,21096,aucb_lam0.05,97
0.05,21096,aucb_lam0.01,335
0.05,21096,cs,-1
0.05,24280,union_anyalloc,1214
0.05,24280,auc,34
0.05,24280,optimal,1244
0.05,24280,aucb_lam0.05,100
0.05,24280,aucb_lam0.01,349
0.05,24280,cs,-1
0.05,27945,union_anyalloc,1397
0.05,27945,auc,36
0.05,27945,optimal,1432
0.05,27945,aucb_lam0.05,102
0.05,27945,aucb_lam0.01,363
0.05,27945,cs,-1
0.05,32163,union_anyalloc,1608
0.05,32163,auc,39
0.05,32163,optimal,1649
0.05,32163,aucb_lam0.05,105
0.05,32163,aucb_lam0.01,377
0.05,32163,cs,-1
0.05,37018,union_anyalloc,1850
0.05,37018,auc,42
0.05,37018,optimal,1897
0.05,37018,aucb_lam0.05,108
0.05,37018,aucb_lam0.01,391
0.05,37018,cs,-1
0.05,42605,union_anyalloc,2130
0.05,42605,auc,45
0.05,42605,optimal,2184
0.05,42605,aucb_lam0.05,111
0.05,42605,aucb_lam0.01,405
0.05,42605,cs,-1
0.05,49036,union_anyalloc,2451
0.05,49036,auc,49
0.05,49036,optimal,2514
0.05,49036,aucb_lam0.05,113
0.05,49036,aucb_lam0.01,419
0.05,49036,cs,-1
0.05,56437,union_anyalloc,2821
0.05,56437,auc,52
0.05,56437,optimal,2893
0.05,56437,aucb_lam0.05,116
0.05,56437,aucb_lam0.01,432
0.05,56437,cs,-1
0.05,64955,union_anyalloc,3247
0.05,64955,auc,56
0.05,64955,optimal,3330
0.05,64955,aucb_lam0.05,119
0.05,64955,aucb_lam0.01,446
0.05,64955,cs,-1
0.05,74760,union_anyalloc,3738
0.05,74760,auc,60
0.05,74760,optimal,3833
0.05,74760,aucb_lam0.05,122
0.05,74760,aucb_lam0.01,460
0.05,74760,cs,-1
0.05,86044,union_anyalloc,4302
0.05,86044,auc,65
0.05,86044,optimal,4411
0.05,86044,aucb_lam0.05,124
0.05,86044,aucb_lam0.01,474
0.05,86044,cs,-1
0.05,99031,union_anyalloc,4951
0.05,99031,auc,69
0.05,99031,optimal,5077
0.05,99031,aucb_lam0.05,127
0.05,99031,aucb_lam0.01,488
0.05,99031,cs,-1
0.05,113978,union_anyalloc,5698
0.05,113978,auc,75
0.05,113978,optimal,5843
0.05,113978,aucb_lam0.05,130
0.05,113978,aucb_lam0.01,502
0.05,113978,cs,-1
0.05,131182,union_anyalloc,6559
0.05,131182,auc,80
0.05,131182,optimal,6725
0.05,131182,aucb_lam0.05,132
0.05,131182,aucb_lam0.01,516
0.05,131182,cs,-1
0.05,150982,union_anyalloc,7549
0.05,150982,auc,86
0.05,150982,optimal,7741
0.05,150982,aucb_lam0.05,135
0.05,150982,aucb_lam0.01,530
0.05,150982,cs,-1
0.05,173771,union_anyalloc,8688
0.05,173771,auc,92
0.05,173771,optimal,8909
0.05,173771,aucb_lam0.05,138
0.05,173771,aucb_lam0.01,544
0.05,173771,cs,-1
0.05,200000,union_anyalloc,10000
0.05,200000,auc,99
0.05,200000,optimal,10254
0.05,200000,aucb_lam0.05,141
0.05,200000,aucb_lam0.01,558
0.05,200000,cs,-1
0.1,50,union_anyalloc,5
0.1,50,auc,1
0.1,50,optimal,5
0.1,50,aucb_lam0.05,5
0.1,50,aucb_lam0.01,5
0.1,50,cs,-1
0.1,58,union_anyalloc,5
0.1,58,auc,2
0.1,58,optimal,6
0.1,58,aucb_lam0.05,6
0.1,58,aucb_lam0.01,6
0.1,58,cs,-1
0.1,66,union_anyalloc,6
0.1,66,auc,2
0.1,66,optimal,6
0.1,66,aucb_lam0.05,6
0.1,66,aucb_lam0.01,6
